colour	x	y	showSelectedlegendcolour	fill
#00B0F6	24	350	School	#00B0F6
#00B0F6	27	390	School	#00B0F6
#A3A500	54	710	NoQual	#A3A500
#A3A500	22	560	NoQual	#A3A500
#E76BF3	43	860	Vocational	#E76BF3
#F8766D	26	1200	BachDeg+	#F8766D
#E76BF3	24	310	Vocational	#E76BF3
#E76BF3	35	300	Vocational	#E76BF3
#E76BF3	40	540	Vocational	#E76BF3
#E76BF3	19	260	Vocational	#E76BF3
#E76BF3	24	250	Vocational	#E76BF3
#00B0F6	12	390	School	#00B0F6
#E76BF3	34	460	Vocational	#E76BF3
#00B0F6	38	560	School	#00B0F6
#E76BF3	54	640	Vocational	#E76BF3
#E76BF3	24	340	Vocational	#E76BF3
#E76BF3	36	570	Vocational	#E76BF3
#00B0F6	35	580	School	#00B0F6
#E76BF3	23	700	Vocational	#E76BF3
#E76BF3	74	1480	Vocational	#E76BF3
#E76BF3	26	430	Vocational	#E76BF3
#00B0F6	39	710	School	#00B0F6
#00BF7D	21	470	OthPostSec	#00BF7D
#00B0F6	21	450	School	#00B0F6
#00BF7D	12	450	OthPostSec	#00BF7D
#00B0F6	40	490	School	#00B0F6
#00B0F6	34	410	School	#00B0F6
#00BF7D	29	490	OthPostSec	#00BF7D
#E76BF3	19	200	Vocational	#E76BF3
#00B0F6	18	210	School	#00B0F6
#00B0F6	40	460	School	#00B0F6
#A3A500	25	240	NoQual	#A3A500
#E76BF3	49	530	Vocational	#E76BF3
#E76BF3	25	550	Vocational	#E76BF3
#E76BF3	40	680	Vocational	#E76BF3
#00B0F6	17	550	School	#00B0F6
#A3A500	40	640	NoQual	#A3A500
#E76BF3	19	480	Vocational	#E76BF3
#E76BF3	51	730	Vocational	#E76BF3
#E76BF3	38	650	Vocational	#E76BF3
#E76BF3	40	850	Vocational	#E76BF3
#A3A500	20	470	NoQual	#A3A500
#00B0F6	40	670	School	#00B0F6
#E76BF3	40	390	Vocational	#E76BF3
#00B0F6	40	920	School	#00B0F6
#00B0F6	44	1030	School	#00B0F6
#00B0F6	18	490	School	#00B0F6
#E76BF3	10	230	Vocational	#E76BF3
#F8766D	43	430	BachDeg+	#F8766D
#E76BF3	40	730	Vocational	#E76BF3
#F8766D	56	1870	BachDeg+	#F8766D
#F8766D	40	660	BachDeg+	#F8766D
#00B0F6	21	170	School	#00B0F6
#E76BF3	34	420	Vocational	#E76BF3
#00B0F6	24	390	School	#00B0F6
#A3A500	25	320	NoQual	#A3A500
#A3A500	15	630	NoQual	#A3A500
#A3A500	22	440	NoQual	#A3A500
#00B0F6	11	300	School	#00B0F6
#F8766D	52	790	BachDeg+	#F8766D
#E76BF3	59	990	Vocational	#E76BF3
#E76BF3	29	730	Vocational	#E76BF3
#E76BF3	53	1510	Vocational	#E76BF3
#A3A500	18	480	NoQual	#A3A500
#A3A500	67	950	NoQual	#A3A500
#E76BF3	20	530	Vocational	#E76BF3
#E76BF3	28	1230	Vocational	#E76BF3
#A3A500	35	250	NoQual	#A3A500
#F8766D	46	1080	BachDeg+	#F8766D
#00B0F6	59	150	School	#00B0F6
#E76BF3	2	460	Vocational	#E76BF3
#E76BF3	39	910	Vocational	#E76BF3
#A3A500	43	930	NoQual	#A3A500
#00B0F6	24	340	School	#00B0F6
#00B0F6	38	890	School	#00B0F6
#F8766D	48	800	BachDeg+	#F8766D
#E76BF3	30	320	Vocational	#E76BF3
#A3A500	26	300	NoQual	#A3A500
#00B0F6	3	60	School	#00B0F6
#A3A500	13	510	NoQual	#A3A500
#A3A500	21	140	NoQual	#A3A500
#F8766D	40	770	BachDeg+	#F8766D
#E76BF3	24	250	Vocational	#E76BF3
#E76BF3	5	30	Vocational	#E76BF3
#A3A500	21	330	NoQual	#A3A500
#E76BF3	36	1710	Vocational	#E76BF3
#A3A500	8	260	NoQual	#A3A500
#E76BF3	33	660	Vocational	#E76BF3
#00BF7D	22	420	OthPostSec	#00BF7D
#00BF7D	60	390	OthPostSec	#00BF7D
#E76BF3	38	1050	Vocational	#E76BF3
#A3A500	40	430	NoQual	#A3A500
#00B0F6	11	120	School	#00B0F6
#A3A500	25	220	NoQual	#A3A500
#E76BF3	14	120	Vocational	#E76BF3
#00B0F6	40	1160	School	#00B0F6
#E76BF3	20	740	Vocational	#E76BF3
#E76BF3	16	590	Vocational	#E76BF3
#00B0F6	42	410	School	#00B0F6
#00B0F6	20	630	School	#00B0F6
#E76BF3	46	490	Vocational	#E76BF3
#00B0F6	23	510	School	#00B0F6
#E76BF3	8	260	Vocational	#E76BF3
#A3A500	15	610	NoQual	#A3A500
#00BF7D	57	710	OthPostSec	#00BF7D
#00B0F6	20	260	School	#00B0F6
#00B0F6	30	710	School	#00B0F6
#E76BF3	40	820	Vocational	#E76BF3
#A3A500	70	370	NoQual	#A3A500
#A3A500	30	400	NoQual	#A3A500
#E76BF3	40	470	Vocational	#E76BF3
#E76BF3	60	870	Vocational	#E76BF3
#E76BF3	20	240	Vocational	#E76BF3
#A3A500	24	140	NoQual	#A3A500
#00B0F6	19	170	School	#00B0F6
#00B0F6	40	850	School	#00B0F6
#F8766D	24	1550	BachDeg+	#F8766D
#00BF7D	40	500	OthPostSec	#00BF7D
#E76BF3	38	690	Vocational	#E76BF3
#00B0F6	12	930	School	#00B0F6
#00B0F6	30	360	School	#00B0F6
#00B0F6	69	1580	School	#00B0F6
#F8766D	21	1220	BachDeg+	#F8766D
#F8766D	40	610	BachDeg+	#F8766D
#E76BF3	34	420	Vocational	#E76BF3
#F8766D	37	620	BachDeg+	#F8766D
#00B0F6	20	280	School	#00B0F6
#00B0F6	35	400	School	#00B0F6
#00BF7D	36	370	OthPostSec	#00BF7D
#E76BF3	40	830	Vocational	#E76BF3
#F8766D	9	100	BachDeg+	#F8766D
#A3A500	15	220	NoQual	#A3A500
#E76BF3	38	740	Vocational	#E76BF3
#A3A500	48	770	NoQual	#A3A500
#E76BF3	44	420	Vocational	#E76BF3
#A3A500	25	320	NoQual	#A3A500
#E76BF3	40	750	Vocational	#E76BF3
#E76BF3	18	300	Vocational	#E76BF3
#F8766D	145	2610	BachDeg+	#F8766D
#E76BF3	74	410	Vocational	#E76BF3
#A3A500	83	450	NoQual	#A3A500
#00B0F6	37	510	School	#00B0F6
#E76BF3	20	360	Vocational	#E76BF3
#A3A500	2	350	NoQual	#A3A500
#F8766D	33	990	BachDeg+	#F8766D
#E76BF3	50	2270	Vocational	#E76BF3
#E76BF3	20	550	Vocational	#E76BF3
#E76BF3	19	240	Vocational	#E76BF3
#00B0F6	38	780	School	#00B0F6
#00B0F6	40	500	School	#00B0F6
#A3A500	35	890	NoQual	#A3A500
#00B0F6	14	130	School	#00B0F6
#E76BF3	23	450	Vocational	#E76BF3
#F8766D	38	1150	BachDeg+	#F8766D
#F8766D	40	560	BachDeg+	#F8766D
#E76BF3	9	490	Vocational	#E76BF3
#E76BF3	50	560	Vocational	#E76BF3
#F8766D	35	270	BachDeg+	#F8766D
#00B0F6	127	1610	School	#00B0F6
#00B0F6	45	950	School	#00B0F6
#00B0F6	31	300	School	#00B0F6
#E76BF3	30	420	Vocational	#E76BF3
#E76BF3	98	720	Vocational	#E76BF3
#00BF7D	19	510	OthPostSec	#00BF7D
#F8766D	35	380	BachDeg+	#F8766D
#E76BF3	15	370	Vocational	#E76BF3
#00BF7D	18	450	OthPostSec	#00BF7D
#F8766D	40	640	BachDeg+	#F8766D
#A3A500	5	20	NoQual	#A3A500
#00B0F6	20	500	School	#00B0F6
#A3A500	18	340	NoQual	#A3A500
#E76BF3	25	480	Vocational	#E76BF3
#A3A500	19	350	NoQual	#A3A500
#00BF7D	24	890	OthPostSec	#00BF7D
#E76BF3	16	240	Vocational	#E76BF3
#F8766D	16	1050	BachDeg+	#F8766D
#E76BF3	40	540	Vocational	#E76BF3
#E76BF3	38	360	Vocational	#E76BF3
#00B0F6	20	460	School	#00B0F6
#E76BF3	40	860	Vocational	#E76BF3
#F8766D	19	630	BachDeg+	#F8766D
#00B0F6	35	450	School	#00B0F6
#00B0F6	40	810	School	#00B0F6
#00B0F6	57	630	School	#00B0F6
#F8766D	50	970	BachDeg+	#F8766D
#E76BF3	32	420	Vocational	#E76BF3
#E76BF3	24	250	Vocational	#E76BF3
#00B0F6	40	580	School	#00B0F6
#E76BF3	15	350	Vocational	#E76BF3
#E76BF3	65	760	Vocational	#E76BF3
#F8766D	40	530	BachDeg+	#F8766D
#00B0F6	112	660	School	#00B0F6
#A3A500	8	100	NoQual	#A3A500
#00B0F6	38	550	School	#00B0F6
#00B0F6	42	430	School	#00B0F6
#E76BF3	20	280	Vocational	#E76BF3
#00B0F6	16	170	School	#00B0F6
#00B0F6	26	910	School	#00B0F6
#F8766D	40	770	BachDeg+	#F8766D
#00BF7D	20	320	OthPostSec	#00BF7D
#00B0F6	37	880	School	#00B0F6
#A3A500	46	660	NoQual	#A3A500
#E76BF3	48	520	Vocational	#E76BF3
#00B0F6	37	490	School	#00B0F6
#00BF7D	38	780	OthPostSec	#00BF7D
#E76BF3	2	230	Vocational	#E76BF3
#00BF7D	40	630	OthPostSec	#00BF7D
#F8766D	27	720	BachDeg+	#F8766D
#00B0F6	40	690	School	#00B0F6
#00B0F6	20	550	School	#00B0F6
#00BF7D	14	120	OthPostSec	#00BF7D
#00B0F6	22	340	School	#00B0F6
#00BF7D	21	210	OthPostSec	#00BF7D
#E76BF3	40	400	Vocational	#E76BF3
#00B0F6	40	850	School	#00B0F6
#A3A500	60	700	NoQual	#A3A500
#F8766D	60	430	BachDeg+	#F8766D
#00B0F6	11	210	School	#00B0F6
#E76BF3	40	580	Vocational	#E76BF3
#A3A500	39	620	NoQual	#A3A500
#00B0F6	30	450	School	#00B0F6
#E76BF3	35	350	Vocational	#E76BF3
#00BF7D	21	280	OthPostSec	#00BF7D
#00B0F6	32	330	School	#00B0F6
#E76BF3	35	710	Vocational	#E76BF3
#F8766D	35	620	BachDeg+	#F8766D
#00B0F6	35	350	School	#00B0F6
#A3A500	40	440	NoQual	#A3A500
#E76BF3	33	610	Vocational	#E76BF3
#E76BF3	40	610	Vocational	#E76BF3
#A3A500	26	210	NoQual	#A3A500
#E76BF3	41	510	Vocational	#E76BF3
#00B0F6	29	530	School	#00B0F6
#E76BF3	45	890	Vocational	#E76BF3
#E76BF3	30	420	Vocational	#E76BF3
#E76BF3	30	700	Vocational	#E76BF3
#A3A500	4	160	NoQual	#A3A500
#E76BF3	40	510	Vocational	#E76BF3
#F8766D	52	1330	BachDeg+	#F8766D
#E76BF3	40	800	Vocational	#E76BF3
#E76BF3	38	820	Vocational	#E76BF3
#A3A500	18	280	NoQual	#A3A500
#E76BF3	40	390	Vocational	#E76BF3
#A3A500	16	180	NoQual	#A3A500
#00BF7D	15	130	OthPostSec	#00BF7D
#F8766D	40	1450	BachDeg+	#F8766D
#00BF7D	32	560	OthPostSec	#00BF7D
#A3A500	46	580	NoQual	#A3A500
#A3A500	80	430	NoQual	#A3A500
#A3A500	41	570	NoQual	#A3A500
#E76BF3	32	460	Vocational	#E76BF3
#F8766D	13	340	BachDeg+	#F8766D
#E76BF3	15	530	Vocational	#E76BF3
#00B0F6	32	290	School	#00B0F6
#00B0F6	18	170	School	#00B0F6
#F8766D	28	380	BachDeg+	#F8766D
#00BF7D	14	180	OthPostSec	#00BF7D
#A3A500	37	390	NoQual	#A3A500
#00B0F6	40	510	School	#00B0F6
#A3A500	15	100	NoQual	#A3A500
#E76BF3	40	1100	Vocational	#E76BF3
#E76BF3	50	630	Vocational	#E76BF3
#E76BF3	30	590	Vocational	#E76BF3
#A3A500	15	160	NoQual	#A3A500
#00B0F6	30	470	School	#00B0F6
#00B0F6	38	520	School	#00B0F6
#F8766D	37	610	BachDeg+	#F8766D
#00B0F6	22	320	School	#00B0F6
#00BF7D	20	220	OthPostSec	#00BF7D
#E76BF3	40	910	Vocational	#E76BF3
#E76BF3	30	900	Vocational	#E76BF3
#E76BF3	38	540	Vocational	#E76BF3
#E76BF3	40	680	Vocational	#E76BF3
#E76BF3	44	570	Vocational	#E76BF3
#00BF7D	33	710	OthPostSec	#00BF7D
#A3A500	10	100	NoQual	#A3A500
#E76BF3	38	410	Vocational	#E76BF3
#A3A500	74	600	NoQual	#A3A500
#E76BF3	44	660	Vocational	#E76BF3
#A3A500	42	750	NoQual	#A3A500
#00B0F6	24	440	School	#00B0F6
#A3A500	32	670	NoQual	#A3A500
#A3A500	3	270	NoQual	#A3A500
#E76BF3	8	220	Vocational	#E76BF3
#E76BF3	20	420	Vocational	#E76BF3
#E76BF3	40	510	Vocational	#E76BF3
#E76BF3	25	190	Vocational	#E76BF3
#00B0F6	20	260	School	#00B0F6
#E76BF3	51	710	Vocational	#E76BF3
#00B0F6	16	1690	School	#00B0F6
#E76BF3	40	390	Vocational	#E76BF3
#E76BF3	49	560	Vocational	#E76BF3
#F8766D	40	730	BachDeg+	#F8766D
#F8766D	42	730	BachDeg+	#F8766D
#A3A500	54	760	NoQual	#A3A500
#E76BF3	37	780	Vocational	#E76BF3
#00B0F6	43	1240	School	#00B0F6
#F8766D	11	140	BachDeg+	#F8766D
#A3A500	30	580	NoQual	#A3A500
#F8766D	43	1760	BachDeg+	#F8766D
#00B0F6	37	450	School	#00B0F6
#F8766D	48	670	BachDeg+	#F8766D
#00B0F6	42	550	School	#00B0F6
#00B0F6	46	760	School	#00B0F6
#E76BF3	16	180	Vocational	#E76BF3
#00BF7D	33	630	OthPostSec	#00BF7D
#A3A500	20	220	NoQual	#A3A500
#00B0F6	35	750	School	#00B0F6
#A3A500	26	250	NoQual	#A3A500
#F8766D	44	730	BachDeg+	#F8766D
#00B0F6	35	670	School	#00B0F6
#A3A500	32	420	NoQual	#A3A500
#A3A500	30	400	NoQual	#A3A500
#E76BF3	9	210	Vocational	#E76BF3
#00B0F6	20	290	School	#00B0F6
#E76BF3	47	670	Vocational	#E76BF3
#F8766D	39	760	BachDeg+	#F8766D
#E76BF3	60	1430	Vocational	#E76BF3
#00BF7D	38	610	OthPostSec	#00BF7D
#E76BF3	53	520	Vocational	#E76BF3
#A3A500	25	210	NoQual	#A3A500
#E76BF3	35	910	Vocational	#E76BF3
#E76BF3	12	140	Vocational	#E76BF3
#00B0F6	24	330	School	#00B0F6
#F8766D	56	740	BachDeg+	#F8766D
#00BF7D	43	760	OthPostSec	#00BF7D
#E76BF3	30	610	Vocational	#E76BF3
#00B0F6	49	860	School	#00B0F6
#00B0F6	38	320	School	#00B0F6
#E76BF3	111	1420	Vocational	#E76BF3
#E76BF3	25	420	Vocational	#E76BF3
#A3A500	22	950	NoQual	#A3A500
#A3A500	18	160	NoQual	#A3A500
#F8766D	14	470	BachDeg+	#F8766D
#F8766D	24	370	BachDeg+	#F8766D
#A3A500	24	240	NoQual	#A3A500
#00BF7D	31	280	OthPostSec	#00BF7D
#F8766D	23	1690	BachDeg+	#F8766D
#F8766D	26	3940	BachDeg+	#F8766D
#A3A500	25	300	NoQual	#A3A500
#A3A500	1	170	NoQual	#A3A500
#E76BF3	40	1090	Vocational	#E76BF3
#E76BF3	22	260	Vocational	#E76BF3
